name_project,project_desc,category_project
cari ML,Es un juego que te volves adicto cuando sovrevivis tu primer juego.Me paso que lo baje en la semana que estaba gratis y lo desinstale.Cambie de parecer y lo volvi a bajar y ahi me atrapo es un juego que hay que darle una hora para que te atrape.,"mobile legend, susah, free fire"
tutor DOTA,Perfect Gameplay.!,sepuh
joki DOTA,I do like the game it is only really fun with friends. Too many trollsThe graphics are alright the sounds are decent the gameplay is nice and all of the features work well together. but problem is you will have wait for so long to find a lobby so i hope they will fix it soon. other than that Game is great never get bored ),mobile legend
cari PUBG,Salty not good,"pro player, gg"
joki DOTA,1 of my favorite and fun games i have ever got.it is worth 20$,"wibu, waifu, cogan"
joki PUBG,it looks and runs like I have a gtx1080 ti and a i7 7700k and in certain areas it goes down to 40 fps. also new content is released way to slow. all we get is 1 new gun every quarter,"suhu, pro player"
cari Genshin Impact,The game is decent overall but the loading times on GTA O make me want to claw my eyes out. also the frequency of modders and hackers on GTA Online shows how bad this game's anti cheat is.... Would recommend for storymode although GTA San Andreas has a far better story.,cewek
cari PUBG,Nah don't play it don't pay for it. ?Just don't deal with it.,wibu
cari NINTENDO,it's good,"mobile legend, pro player"
cari VALORANT,OK single player amazing multiplayer complete sh*t. Every 5 mins says everyone left horrible servers and support.,"pro player, suhu"
cari Bang Bang,"Game has cosmetics that have worse odds of unlocking then winning the lottery. On top of this the community has made several suggestions few of which have been implemented. It fees like the devs stopped caring because they got popular and started making alot of money. This game in the end is only slightly better then fortnite and that says ALOT considering how that cesspool of a ""game"" is.",gg
joki FF,THIS GAME IS TRASH. MECHANICS ARE DOG MEAT.,"free fire, pro player"
tutor Roblox,F*ck fortnite so yes love this game.,jodoh
cari Bang Bang,overrated survival gameget it if you're a kid that has nothing better to do than play video games,"gg, valorant"
joki Bang Bang,Liquid smooth game. Should be less needs of micro transactions though.,"wibu, suhu"
joki DOTA,Rocket League! Where do I begin... Rocket League is one of the most inivative games to push the bounderies of sports. Picture yourself SOARING through the air with your only goal too get that good fast hit past the opponent. Rocket league takes soccer and gives it such a unique gameplay... VEHICLES! Be prepared to collide slide tumble and roll around in one of Rocket League's beautiful arenas! Ranging from sunny skies to skill deciding obsticles such as pillars hexagons and plateaus. Graphics 9/10I'd like to keep this short by saying Rocket League runs beautifully on most computers! You can have it optimized for an older 21st century laptop or desktop. Amazing rain effects and tons of customization to take your style to the next level! Gameplay 9/10You start off in rocket league really doing whatever you want from bot matches to hopping right into ranked (not recommended....) Rocket league teaches you patience and causes you to become an overall better gamer! Gameplay modes include 1v1 2v2 3v3 4v4 3v3 Rumble 3v3 Hoops Ranked ques of 1's 2's 3's 3v3 Rocket Labs You also have the full ability to host private lobbies with all sorts of mutator settings! From double speed to half... Quad collision effects to none at all! Change the shape and size of your ball to increase the chaotic aspect! Music 8/10Here's the thing... I don't think I've ever played a game and actually desired to find that perfect balance of volume for the games soundtrack... because well... It's AWESOME! Such a big plus when you load up a game to a beautiful symphony of electronic waves pulling you closer to that QUE button...TL DR Rocket League is an awesome new genre of competitive gameplay that you MUST try at least once.. But don't be alarmed when you fail and fail. This is one of those games in which you could spend 1.000 hours and still be working towards getting that GREAT wall shot.,"cogan, waifu"
cari Clash Royale,please fix the 'app already running',wibu
cari VALORANT,Steaming pile of They flushed 9 months down the drain delaying the release of the PC version. They had AMPLE time to make the game playable on a keyboard and mouse... But it's... Unplayable. Swimming is a disaster. Submersibles helicopters? Is this a joke? I want a refund and a written apology from the in bred deformed FAS baby who allowed this game to be released in this form. Absolute mockery.,"mobile legend, suhu, cecan"
tutor Bang Bang,ss,jodoh
joki Bang Bang,If you like to wind up friends and dance whilst they fight a hard tier Monster this is the game for you.,"cewek, waifu, free fire"
joki Cyberpunk,This is not a fun game. I suppose if you like constantly dying to some idiot camping in a room or getting sniped from a billion miles away it's a hoot but for people with any kind of self respect it's simply not a good game. It controls like a wet sponge sluggish and barely responsive. It's ugly as sin. I spend more time sitting in lobbies waiting for games to start than I do playing the actual game. I can't understand the hype around it. I guess it's like heroin. You watch helplessly as your loved ones get hooked and eventually you lose contact with them because the drug got 'em. PUBG is a drug. And not the fun kind.,"mobile legend, cogan"
joki Bang Bang,Gameplay is fantastic. I couldn't ask for much better for a challenging RPG experience like this. 10/10. Servers are a whole different issue however and I hope Capcom improves it soon.,"cecan, cewek, valorant"
joki DOTA,Very fun,"cewek, suhu"
joki GTA,Good game. Simplicity is it's strength. I cannot support any game which one pays full price in beta and then they start to roll out microtransactions. It's very disingenuous of a publisher to say it's a one time thing to pay for a competition and they need the money when a small team has made over 100M gross. Say no to microtransactions from the start otherwise every aspect of the game will be monetised. We start with cosmetic skins for a one time event in summer 2017 summer 2018 we'll have paid drops which only contain top tier weapons and specials.Say no to monetisation and microtransactions from the start. Do not support this game.,"susah, cewek, jodoh"
